province_0405_th,NAME_1,Year,Value,Measure
จังหวัดกรุงเทพมหานคร,Bangkok Metropolis,2013,1,Loan_Growth
จังหวัดกาญจนบุรี,Kanchanaburi,2013,29,Loan_Growth
จังหวัดจันทบุรี,Chanthaburi,2013,47,Loan_Growth
จังหวัดฉะเชิงเทรา,Chachoengsao,2013,38,Loan_Growth
จังหวัดชลบุรี,Chon Buri,2013,55,Loan_Growth
จังหวัดชัยนาท,Chai Nat,2013,43,Loan_Growth
จังหวัดตราด,Trat,2013,47,Loan_Growth
จังหวัดนครนายก,Nakhon Nayok,2013,29,Loan_Growth
จังหวัดนครปฐม,Nakhon Pathom,2013,24,Loan_Growth
จังหวัดนนทบุรี,Nonthaburi,2013,11,Loan_Growth
จังหวัดปทุมธานี,Pathum Thani,2013,10,Loan_Growth
จังหวัดประจวบคีรีขันธ์,Prachuap Khiri Khan,2013,54,Loan_Growth
จังหวัดปราจีนบุรี,Prachin Buri,2013,36,Loan_Growth
จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2013,21,Loan_Growth
จังหวัดเพชรบุรี,Phetchaburi,2013,29,Loan_Growth
จังหวัดระยอง,Rayong,2013,45,Loan_Growth
จังหวัดราชบุรี,Ratchaburi,2013,29,Loan_Growth
จังหวัดลพบุรี,Lop Buri,2013,36,Loan_Growth
จังหวัดสมุทรปราการ,Samut Prakan,2013,10,Loan_Growth
จังหวัดสมุทรสงคราม,Samut Songkhram,2013,30,Loan_Growth
จังหวัดสมุทรสาคร,Samut Sakhon,2013,36,Loan_Growth
จังหวัดสระแก้ว,Sa Kaeo,2013,50,Loan_Growth
จังหวัดสระบุรี,Saraburi,2013,30,Loan_Growth
จังหวัดสิงห์บุรี,Sing Buri,2013,26,Loan_Growth
จังหวัดสุพรรณบุรี,Suphan Buri,2013,29,Loan_Growth
จังหวัดอ่างทอง,Ang Thong,2013,32,Loan_Growth
จังหวัดกาฬสินธุ์,Kalasin,2013,44,Loan_Growth
จังหวัดขอนแก่น,Khon Kaen,2013,35,Loan_Growth
จังหวัดชัยภูมิ,Chaiyaphum,2013,39,Loan_Growth
จังหวัดนครพนม,Nakhon Phanom,2013,42,Loan_Growth
จังหวัดนครราชสีมา,Nakhon Ratchasima,2013,42,Loan_Growth
จังหวัดบึงกาฬ,Bueng Kan,2013,109,Loan_Growth
จังหวัดบุรีรัมย์,Buri Ram,2013,53,Loan_Growth
จังหวัดมหาสารคาม,Maha Sarakham,2013,29,Loan_Growth
จังหวัดมุกดาหาร,Mukdahan,2013,52,Loan_Growth
จังหวัดยโสธร,Yasothon,2013,45,Loan_Growth
จังหวัดร้อยเอ็ด,Roi Et,2013,59,Loan_Growth
จังหวัดเลย,Loei,2013,46,Loan_Growth
จังหวัดศรีสะเกษ,Si Sa Ket,2013,36,Loan_Growth
จังหวัดสกลนคร,Sakon Nakhon,2013,44,Loan_Growth
จังหวัดสุรินทร์,Surin,2013,36,Loan_Growth
จังหวัดหนองคาย,Nong Khai,2013,55,Loan_Growth
จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,2013,47,Loan_Growth
จังหวัดอำนาจเจริญ,Amnat Charoen,2013,35,Loan_Growth
จังหวัดอุดรธานี,Udon Thani,2013,46,Loan_Growth
จังหวัดอุบลราชธานี,Ubon Ratchathani,2013,46,Loan_Growth
จังหวัดกระบี่,Krabi,2013,34,Loan_Growth
จังหวัดชุมพร,Chumphon,2013,23,Loan_Growth
จังหวัดตรัง,Trang,2013,25,Loan_Growth
จังหวัดนครศรีธรรมราช,Nakhon Si Thammarat,2013,37,Loan_Growth
จังหวัดนราธิวาส,Narathiwat,2013,29,Loan_Growth
จังหวัดปัตตานี,Pattani,2013,26,Loan_Growth
จังหวัดพังงา,Phangnga,2013,15,Loan_Growth
จังหวัดพัทลุง,Phatthalung,2013,27,Loan_Growth
จังหวัดภูเก็ต,Phuket,2013,30,Loan_Growth
จังหวัดยะลา,Yala,2013,28,Loan_Growth
จังหวัดระนอง,Ranong,2013,20,Loan_Growth
จังหวัดสงขลา,Songkhla,2013,31,Loan_Growth
จังหวัดสตูล,Satun,2013,36,Loan_Growth
